Position,Teams,Games_Played,Games_Won,Games_Drawn,Games_Lost,GF,GA,GD,Points
1,Manchester City,12,9,1,2,20,12,20,28
2,Liverpool,12,8,3,1,17,10,17,27
3,Arsenal,12,8,3,1,16,10,16,27
4,Tottenham Hotspur,12,8,2,2,9,15,9,26
5,Aston Villa,12,8,1,3,12,17,12,25
6,Manchester United,12,7,0,5,-3,16,-3,21
7,Newcastle United,12,6,2,4,14,13,14,20
8,Brighton and Hove Albion,12,5,4,3,4,21,4,19
9,West Ham United,12,5,2,5,-1,22,-1,17
10,Chelsea,12,4,4,4,5,16,5,16
11,Brentford,12,4,4,4,2,17,2,16
12,Wolverhampton Wanderers,12,4,3,5,-4,20,-4,15
13,Crystal Palace,12,4,3,5,-4,16,-4,15
14,Everton,12,4,2,6,-3,17,-3,14
15,Nottingham Forest,12,3,4,5,-4,18,-4,13
16,Fulham,12,3,3,6,-10,20,-10,12
17,Bournemouth,12,2,3,7,-16,27,-16,9
18,Luton Town,12,1,3,8,-12,22,-12,6
19,Sheffield United,12,1,2,9,-21,31,-21,5
20,Burnley,12,1,1,10,-21,30,-21,4
