Position,Teams,Games_Played,Games_Won,Games_Drawn,Games_Lost,GF,GA,GD,Points
1,Manchester City,7,6,0,1,12,5,12,18
2,Tottenham Hotspur,7,5,2,0,9,8,9,17
3,Arsenal,7,5,2,0,9,6,9,17
4,Liverpool,7,5,1,1,9,7,9,16
5,Aston Villa,7,5,0,2,7,11,7,15
6,Brighton and Hove Albion,7,5,0,2,5,14,5,15
7,West Ham United,7,4,1,2,3,10,3,13
8,Newcastle United,7,4,0,3,11,7,11,12
9,Crystal Palace,7,3,2,2,0,7,0,11
10,Manchester United,7,3,0,4,-4,11,-4,9
11,Chelsea,7,2,2,3,1,6,1,8
12,Nottingham Forest,7,2,2,3,-2,10,-2,8
13,Fulham,7,2,2,3,-7,12,-7,8
14,Brentford,7,1,4,2,0,10,0,7
15,Wolverhampton Wanderers,7,2,1,4,-5,13,-5,7
16,Everton,7,1,1,5,-6,12,-6,4
17,Luton Town,7,1,1,5,-8,14,-8,4
18,Burnley,7,1,1,5,-10,16,-10,4
19,Bournemouth,7,0,3,4,-10,15,-10,3
20,Sheffield United,7,0,1,6,-14,19,-14,1
