Position,Teams,Games_Played,Games_Won,Games_Drawn,Games_Lost,GF,GA,GD,Points
1,Manchester City,6,6,0,0,13,3,13,18
2,Liverpool,6,5,1,0,10,5,10,16
3,Brighton and Hove Albion,6,5,0,1,10,8,10,15
4,Tottenham Hotspur,6,4,2,0,8,7,8,14
5,Arsenal,6,4,2,0,5,6,5,14
6,Aston Villa,6,4,0,2,2,10,2,12
7,West Ham United,6,3,1,2,1,10,1,10
8,Newcastle United,6,3,0,3,9,7,9,9
9,Manchester United,6,3,0,3,-3,10,-3,9
10,Crystal Palace,6,2,2,2,-1,7,-1,8
11,Fulham,6,2,2,2,-5,10,-5,8
12,Nottingham Forest,6,2,1,3,-2,9,-2,7
13,Brentford,6,1,3,2,0,9,0,6
14,Chelsea,6,1,2,3,-1,6,-1,5
15,Everton,6,1,1,4,-5,10,-5,4
16,Wolverhampton Wanderers,6,1,1,4,-6,12,-6,4
17,Bournemouth,6,0,3,3,-6,11,-6,3
18,Luton Town,5,0,1,4,-8,11,-8,1
19,Burnley,5,0,1,4,-9,13,-9,1
20,Sheffield United,6,0,1,5,-12,17,-12,1
