Position,Teams,Games_Played,Games_Won,Games_Drawn,Games_Lost,GF,GA,GD,Points
1,Manchester City,4,4,0,0,9,2,9,12
2,Tottenham Hotspur,4,3,1,0,7,4,7,10
3,Liverpool,4,3,1,0,6,3,6,10
4,West Ham United,4,3,1,0,5,4,5,10
5,Arsenal,4,3,1,0,4,4,4,10
6,Brighton and Hove Albion,4,3,0,1,6,6,6,9
7,Crystal Palace,4,2,1,1,1,4,1,7
8,Brentford,4,1,3,0,3,5,3,6
9,Nottingham Forest,4,2,0,2,0,6,0,6
10,Aston Villa,4,2,0,2,-1,9,-1,6
11,Manchester United,4,2,0,2,-2,7,-2,6
12,Chelsea,4,1,1,2,0,5,0,4
13,Fulham,4,1,1,2,-6,10,-6,4
14,Newcastle United,4,1,0,3,0,7,0,3
15,Wolverhampton Wanderers,4,1,0,3,-4,8,-4,3
16,Bournemouth,4,0,2,2,-4,8,-4,2
17,Sheffield United,4,0,1,3,-3,7,-3,1
18,Everton,4,0,1,3,-6,8,-6,1
19,Luton Town,3,0,0,3,-7,9,-7,0
20,Burnley,3,0,0,3,-8,11,-8,0
