Position,Teams,Games_Played,Games_Won,Games_Drawn,Games_Lost,GF,GA,GD,Points
1,Chelsea,10,8,1,1,26,3,23,25
2,Liverpool,10,6,4,0,29,8,21,22
3,Manchester City,10,6,2,2,20,6,14,20
4,West Ham United,10,6,2,2,20,11,9,20
5,Manchester United,10,5,2,3,19,15,4,17
6,Arsenal,10,5,2,3,12,13,-1,17
7,Wolverhampton Wanderers,10,5,1,4,11,10,1,16
8,Brighton and Hove Albion,10,4,4,2,11,11,0,16
9,Tottenham Hotspur,10,5,0,5,9,16,-7,15
10,Everton,10,4,2,4,16,16,0,14
11,Leicester City,10,4,2,4,15,17,-2,14
12,Brentford,10,3,3,4,12,12,0,12
13,Crystal Palace,10,2,6,2,13,14,-1,12
14,Southampton,10,2,5,3,9,12,-3,11
15,Aston Villa,10,3,1,6,14,19,-5,10
16,Watford,10,3,1,6,12,18,-6,10
17,Leeds United,10,2,4,4,10,17,-7,10
18,Burnley,10,1,4,5,10,16,-6,7
19,Newcastle United,10,0,4,6,11,23,-12,4
20,Norwich City,10,0,2,8,3,25,-22,2
